months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,policy_limit,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,auto_year,weather_condition,previous_claims,avg_past_claim_amount,max_past_claim_amount,tenure_days,vehicle_age,seasonal_factor,time_factor,weather_factor,total_claim_amount,frequency
80,20,PN00002459,2022-04-14,FL,250,2203.931620635648,250000,0,59558,Female,Bachelor,Sales,Married,57848.12635490596,27579.188961101703,2023-06-23,Collision,Head-on,Totaled,23,2,4,0,False,Ford,Sedan,2017,Snow,0,0.0,0.0,435,6,1.0,1.2,1.5,19300.98872526905,3
4,26,PN00002460,2018-02-15,CA,250,3380.983997860804,1000000,0,43884,Male,High School,Clerical,Widowed,94678.03827948791,48308.923982925066,2016-09-30,Vandalism,Rear-end,Minor,7,2,2,0,True,Honda,Coupe,2009,Rain,2,6234.0830385136705,7782.310965892361,0,7,1.05,1.1,1.3,10196.917933624813,0
6,68,PN00002461,2017-10-19,FL,500,1004.1266989099945,500000,500000,81319,Male,Bachelor,Teacher,Widowed,17532.62763812019,20200.649995480035,2023-10-30,Theft,Side-swipe,Minor,3,4,2,0,True,Ford,SUV,2001,Snow,1,11034.344529606373,11034.344529606373,2202,22,1.05,1.2,1.5,10719.15148628936,2
58,33,PN00002462,2016-04-09,IL,2000,3661.4974413319287,250000,100000,65503,Female,High School,Clerical,Widowed,83508.697104092,2420.3327826318787,2024-02-23,Collision,Side-swipe,Minor,20,4,1,2,False,Chevrolet,SUV,2006,Fog,0,0.0,0.0,2876,18,1.1,1.0,1.2,1800.987867418607,1
22,20,PN00002463,2015-04-17,IL,500,4202.295840461613,250000,500000,28963,Male,Master,Manager,Single,48941.798387257484,23703.93203385795,2024-02-06,Collision,Side-swipe,Minor,23,4,0,2,True,Chevrolet,SUV,2000,Snow,2,12084.472247538124,13882.718673508343,3217,24,1.1,1.2,1.5,11727.906988511648,0
26,41,PN00002464,2023-04-02,NY,500,4197.855418422056,1000000,500000,28514,Male,High School,Teacher,Widowed,66181.21294987231,41209.27413805818,2018-06-08,Theft,Side-swipe,Minor,2,1,2,4,False,Chevrolet,Coupe,2004,Clear,0,0.0,0.0,0,14,1.0,1.2,1.0,7021.419589650893,1
3,30,PN00002465,2017-02-01,TX,500,1779.2489646079512,250000,250000,25433,Female,PhD,Clerical,Widowed,27374.687957029753,2623.269644523152,2021-07-14,Collision,Parked Car,Major,23,4,4,2,True,Chevrolet,Convertible,2003,Rain,0,0.0,0.0,1624,18,1.0,1.2,1.3,7872.4224584843505,0
41,19,PN00002466,2020-08-06,TX,1000,1686.8578787457197,500000,250000,20683,Male,Master,Sales,Divorced,9461.310303632376,1809.742666537939,2020-08-11,Collision,Head-on,Totaled,14,2,2,2,True,Chevrolet,SUV,2000,Snow,1,19543.8415617011,19543.8415617011,5,20,1.0,1.0,1.5,17350.14687559483,0
60,88,PN00002467,2020-10-21,CA,1000,2846.2895955620534,250000,500000,69521,Female,Master,Clerical,Married,77770.60398854621,41087.56377585611,2024-07-17,Collision,Head-on,Totaled,12,1,1,2,False,Chevrolet,Sedan,2001,Snow,0,0.0,0.0,1365,23,1.0,1.0,1.5,9801.99124740466,0
106,38,PN00002468,2019-05-05,TX,500,4854.974728684318,1000000,250000,64018,Female,Master,Manager,Widowed,25175.05354447589,41198.7587888598,2022-03-14,Theft,Side-swipe,Major,6,3,3,0,True,Ford,Coupe,2023,Fog,1,1929.4843979875518,1929.4843979875518,1044,-1,1.05,1.0,1.2,14114.370624913101,3
14,36,PN00002469,2021-04-19,NY,500,4642.353399227383,1000000,100000,95862,Male,Master,Teacher,Single,39029.30472080938,9998.947363756282,2017-05-11,Vandalism,Side-swipe,Major,7,2,2,3,True,Chevrolet,SUV,2010,Snow,0,0.0,0.0,0,7,1.05,1.1,1.5,15362.106369622586,0
75,64,PN00002470,2016-04-27,IL,1000,2118.3731679019184,500000,250000,30663,Male,Master,Teacher,Married,4752.455169386549,32873.80961415278,2020-02-19,Collision,Rear-end,Minor,17,3,1,0,True,Honda,Convertible,2002,Clear,2,5815.393142461484,5846.465788703503,1393,18,1.1,1.1,1.0,8316.769641664285,2
82,39,PN00002471,2017-12-08,CA,1000,4009.2327778236986,500000,100000,24913,Female,Master,Teacher,Widowed,65020.39137100202,3213.59964349171,2016-11-09,Theft,Head-on,Minor,0,3,2,4,False,Toyota,Convertible,2023,Snow,1,3715.0093849329037,3715.0093849329037,0,-7,1.05,1.2,1.5,14204.19649078826,4
118,50,PN00002472,2023-09-10,IL,2000,4645.929938411558,250000,0,12712,Female,Master,Sales,Widowed,68744.86447153117,38280.525432511095,2024-06-21,Theft,Parked Car,Minor,11,1,0,1,True,Chevrolet,Coupe,2021,Clear,0,0.0,0.0,285,3,1.0,1.0,1.0,3603.306431671923,10
12,49,PN00002473,2017-12-02,NY,500,1674.1690957292226,1000000,0,59516,Male,High School,Teacher,Married,90165.94320506303,15259.833878662992,2017-03-06,Natural Disaster,Side-swipe,Totaled,9,1,1,1,True,BMW,Sedan,2004,Fog,2,12415.275753370668,14698.365073697243,0,13,1.05,1.1,1.2,9130.761732443201,0
87,81,PN00002474,2022-11-23,CA,250,4236.330423213229,1000000,100000,58142,Female,PhD,Clerical,Married,89102.06192960593,11525.598060841674,2021-08-28,Vandalism,Rear-end,Minor,13,4,3,4,True,Ford,Coupe,2012,Clear,1,5887.213648759402,5887.213648759402,0,9,1.0,1.0,1.0,10980.71376947593,3
12,56,PN00002475,2020-01-02,FL,2000,1705.5303210912946,250000,0,22497,Male,High School,Engineer,Married,70513.57166639432,33882.18296448256,2024-08-05,Natural Disaster,Rear-end,Major,17,3,2,2,False,Chevrolet,Coupe,2012,Snow,0,0.0,0.0,1677,12,1.0,1.1,1.5,14585.561426578952,1
13,89,PN00002476,2017-05-28,TX,250,2044.769566492448,1000000,100000,55190,Male,Master,Engineer,Single,32212.90573692429,45577.93046289351,2024-09-27,Collision,Side-swipe,Minor,10,1,2,0,True,Toyota,Coupe,2020,Rain,0,0.0,0.0,2679,4,1.05,1.0,1.3,5421.26083163655,0
25,59,PN00002477,2021-11-11,NY,2000,1394.6931088283936,500000,500000,88417,Male,Master,Sales,Married,37462.62372384828,2075.247516056672,2019-08-28,Natural Disaster,Head-on,Major,4,3,0,3,True,Toyota,Truck,2010,Rain,1,22365.80965849177,22365.80965849177,0,9,1.0,1.2,1.3,6074.620457801246,1
45,26,PN00002478,2018-03-15,CA,500,2781.8590958272107,500000,250000,80135,Male,Master,Clerical,Single,38170.17361646863,7186.83268130253,2020-08-06,Theft,Parked Car,Minor,8,1,1,4,True,Chevrolet,SUV,2018,Fog,0,0.0,0.0,875,2,1.0,1.1,1.2,9817.55395678157,2
115,42,PN00002479,2022-10-13,IL,250,4294.8990241755855,250000,0,22764,Female,High School,Sales,Widowed,12963.225034419978,12786.460597260202,2021-01-21,Collision,Parked Car,Minor,23,1,1,0,False,Honda,Coupe,2011,Clear,1,12457.073068086082,12457.073068086082,0,10,1.1,1.2,1.0,10608.803061270652,4
19,19,PN00002480,2020-07-04,CA,1000,2876.234618459805,250000,0,15416,Male,PhD,Engineer,Married,94728.69606287796,46389.8542606009,2017-11-06,Natural Disaster,Rear-end,Totaled,22,2,2,0,False,Honda,Truck,2005,Clear,0,0.0,0.0,0,12,1.05,1.2,1.0,12044.358754048706,1
55,36,PN00002481,2017-03-30,FL,2000,1055.480043618939,250000,500000,56461,Female,PhD,Teacher,Divorced,81816.44524672112,43857.9578810343,2018-11-01,Natural Disaster,Rear-end,Major,19,3,2,0,True,Chevrolet,Convertible,2021,Fog,1,6240.286326270695,6240.286326270695,581,-3,1.05,1.0,1.2,20149.264033826883,0
110,37,PN00002482,2016-05-17,NY,250,1632.9916950222648,500000,250000,88267,Female,High School,Engineer,Single,14526.976238405543,45358.622005898,2018-04-29,Collision,Rear-end,Major,11,3,3,0,False,BMW,Convertible,2023,Snow,0,0.0,0.0,712,-5,1.05,1.0,1.5,14780.164773494307,1
100,87,PN00002483,2016-07-09,CA,2000,3032.878402766025,500000,250000,74800,Male,Bachelor,Engineer,Widowed,94646.37953052651,18918.61608777202,2021-09-03,Theft,Rear-end,Major,15,1,2,0,True,Ford,Coupe,2012,Clear,0,0.0,0.0,1882,9,1.05,1.0,1.0,5836.884297947326,3
45,34,PN00002484,2015-10-31,NY,500,3124.343550067521,1000000,100000,11985,Male,Bachelor,Engineer,Single,84322.41152465409,11581.536117556452,2016-07-01,Natural Disaster,Rear-end,Totaled,10,2,1,1,True,Chevrolet,SUV,2019,Snow,0,0.0,0.0,244,-3,1.0,1.0,1.5,20468.353054803938,2
8,85,PN00002485,2020-01-26,NY,250,3096.0765659519143,500000,0,41953,Male,PhD,Sales,Single,91885.32982333357,9583.0525428714,2021-03-08,Vandalism,Parked Car,Minor,2,4,1,2,True,Honda,Truck,2002,Clear,1,6483.061972929099,6483.061972929099,407,19,1.05,1.2,1.0,8119.996811029654,0
93,20,PN00002486,2016-12-08,IL,250,846.5157162779718,250000,250000,71334,Male,Bachelor,Manager,Single,28564.44069117128,44097.65478472197,2016-04-19,Theft,Parked Car,Totaled,19,1,3,4,False,Honda,SUV,2012,Clear,0,0.0,0.0,0,4,1.05,1.0,1.0,17949.50135114079,0
119,68,PN00002487,2022-12-31,TX,250,3891.6315168563942,100000,0,88213,Female,High School,Sales,Married,33556.99391464544,11561.126126024696,2016-10-26,Collision,Side-swipe,Major,14,2,2,2,True,BMW,Sedan,2005,Clear,0,0.0,0.0,0,11,1.05,1.0,1.0,9669.796334590079,6
53,43,PN00002488,2019-12-29,FL,2000,4592.42689545053,100000,0,24250,Male,PhD,Manager,Divorced,46992.5434544209,26541.952340125885,2023-03-01,Natural Disaster,Rear-end,Totaled,7,2,4,2,True,Honda,Coupe,2012,Rain,1,23051.341910365605,23051.341910365605,1158,11,1.05,1.1,1.3,23117.556325364232,5
55,73,PN00002489,2015-12-26,CA,1000,2797.3352647845495,100000,0,70824,Female,PhD,Sales,Divorced,22420.066657724845,16586.964153931494,2023-10-15,Vandalism,Head-on,Major,23,3,0,2,False,Ford,Truck,2008,Clear,0,0.0,0.0,2850,15,1.05,1.2,1.0,8462.435286554419,1
32,81,PN00002490,2022-08-25,TX,1000,3734.7317904733827,100000,0,40674,Female,High School,Engineer,Widowed,46542.258901899106,24946.771915490874,2023-07-30,Theft,Head-on,Totaled,5,3,4,4,False,BMW,SUV,2013,Rain,0,0.0,0.0,339,10,1.0,1.0,1.3,15353.373498191193,0
51,25,PN00002491,2018-08-02,IL,1000,4613.0697141644805,100000,100000,78103,Male,High School,Teacher,Widowed,920.1685575927931,17288.350918710134,2024-05-28,Collision,Parked Car,Major,11,2,1,2,False,Toyota,Convertible,2002,Snow,0,0.0,0.0,2126,22,1.05,1.0,1.5,11264.058960482495,2
44,54,PN00002492,2022-06-28,TX,500,3391.8023972660717,500000,250000,14340,Male,High School,Clerical,Divorced,87753.65710046834,14647.435803318149,2021-03-06,Collision,Rear-end,Minor,19,3,2,0,False,BMW,Coupe,2015,Clear,0,0.0,0.0,0,6,1.05,1.0,1.0,6929.588433300847,1
82,44,PN00002493,2018-11-24,NY,250,3534.46575993973,250000,0,18153,Female,Master,Manager,Divorced,16229.40401520182,21366.15006395878,2020-04-10,Theft,Rear-end,Totaled,2,4,3,2,True,Honda,SUV,2011,Clear,1,4886.237316172877,4886.237316172877,503,9,1.05,1.2,1.0,15970.987062199607,5
70,62,PN00002494,2022-12-16,NY,1000,3746.3198602277953,250000,250000,74604,Female,Bachelor,Sales,Single,50084.782890845156,16646.276835967827,2019-11-08,Vandalism,Rear-end,Major,7,4,2,3,False,Toyota,Coupe,2023,Rain,0,0.0,0.0,0,-4,1.05,1.1,1.3,9790.286697660114,0
18,21,PN00002495,2015-09-23,FL,1000,1672.261031543293,1000000,500000,72394,Female,Bachelor,Teacher,Widowed,92882.64927282507,41984.565228809886,2024-05-13,Theft,Side-swipe,Major,17,1,3,3,True,Honda,Coupe,2018,Clear,2,11351.438392386652,14428.160172214173,3155,6,1.05,1.1,1.0,10191.756786222048,0
83,54,PN00002496,2021-03-02,CA,250,3122.0504362257234,250000,500000,63531,Female,PhD,Clerical,Divorced,82098.25426116065,29032.83051741279,2020-06-23,Collision,Rear-end,Minor,7,1,3,0,False,Chevrolet,Coupe,2004,Snow,0,0.0,0.0,0,16,1.0,1.1,1.5,6224.142000871641,3
22,88,PN00002497,2021-01-29,CA,500,4289.788015450053,1000000,250000,22084,Female,Bachelor,Teacher,Divorced,77612.45780523242,8808.351376972174,2018-03-07,Collision,Parked Car,Major,20,1,3,3,False,Honda,Truck,2003,Fog,0,0.0,0.0,0,15,1.05,1.0,1.2,6139.696669747766,1
37,50,PN00002498,2018-04-04,IL,2000,1832.732286173378,250000,100000,28295,Male,PhD,Manager,Divorced,60544.56393082496,11797.284982317608,2020-06-12,Theft,Side-swipe,Major,8,1,1,3,True,BMW,Sedan,2021,Snow,0,0.0,0.0,800,-1,1.0,1.1,1.5,15794.172327043598,0
96,48,PN00002499,2018-05-13,FL,2000,4537.267248185872,1000000,100000,92630,Female,PhD,Manager,Widowed,43627.348588432265,2677.674882787456,2016-06-03,Natural Disaster,Parked Car,Major,15,2,2,1,True,Ford,Convertible,2006,Rain,0,0.0,0.0,0,10,1.0,1.0,1.3,10734.633612445188,3
56,72,PN00002500,2016-10-07,CA,2000,3291.718773945344,1000000,500000,44358,Female,Master,Clerical,Single,44603.73710386337,14984.431673360838,2016-02-13,Theft,Parked Car,Major,9,2,3,2,True,Honda,Convertible,2018,Fog,1,9323.903820879554,9323.903820879554,0,-2,1.1,1.1,1.2,15966.196425295377,0
105,29,PN00002501,2022-12-25,NY,250,2404.286831448753,250000,0,41933,Female,PhD,Clerical,Single,8696.560300457335,33475.90789370693,2018-10-23,Vandalism,Parked Car,Major,14,1,1,0,False,BMW,SUV,2007,Fog,0,0.0,0.0,0,11,1.05,1.0,1.2,6933.669954572281,0
59,28,PN00002502,2022-12-16,FL,500,3304.323326301318,100000,500000,39326,Male,Master,Manager,Married,6478.595528996367,9147.91849542818,2017-04-14,Collision,Parked Car,Totaled,7,1,2,1,True,Chevrolet,Sedan,2015,Snow,1,22904.220526504043,22904.220526504043,0,2,1.05,1.1,1.5,14739.442872878491,1
3,89,PN00002503,2022-11-08,TX,250,2308.3695756008437,250000,0,44384,Female,Bachelor,Manager,Widowed,84343.85189573516,4960.117843772643,2023-12-14,Natural Disaster,Parked Car,Totaled,14,3,2,0,False,Chevrolet,Sedan,2003,Rain,0,0.0,0.0,401,20,1.1,1.0,1.3,24848.179707211537,1
28,49,PN00002504,2022-02-25,FL,2000,4271.160208316785,250000,500000,38442,Male,Master,Engineer,Married,40865.20876013619,16050.769302897455,2017-07-13,Collision,Rear-end,Totaled,18,4,1,1,False,Ford,Convertible,2022,Rain,0,0.0,0.0,0,-5,1.0,1.1,1.3,22459.46851109612,0
74,74,PN00002505,2016-12-14,FL,1000,2670.433610304187,100000,500000,91104,Female,High School,Clerical,Divorced,5401.6046377435405,30626.111674524403,2019-09-01,Theft,Side-swipe,Totaled,3,2,0,0,True,Ford,Convertible,2023,Clear,1,13535.373329666698,13535.373329666698,991,-4,1.05,1.2,1.0,13615.689839675284,1
115,55,PN00002506,2023-11-25,CA,1000,4555.460118894515,250000,100000,55170,Male,Master,Clerical,Single,66305.42741976521,23639.002288702955,2023-07-08,Collision,Parked Car,Totaled,11,4,1,0,False,Ford,Coupe,2001,Clear,1,7173.126919307334,7173.126919307334,0,22,1.0,1.0,1.0,19989.65157538246,8
35,77,PN00002507,2019-01-20,IL,1000,2794.1363638152193,1000000,250000,88787,Male,PhD,Manager,Widowed,68330.24004816354,16609.513073574915,2024-05-24,Natural Disaster,Side-swipe,Totaled,8,2,1,3,False,Honda,Sedan,2012,Snow,0,0.0,0.0,1951,12,1.05,1.1,1.5,14519.06149339821,0
61,36,PN00002508,2020-09-14,IL,2000,3471.6577533682425,100000,250000,43520,Male,Bachelor,Sales,Single,22744.035812900787,44147.58789669036,2021-03-16,Collision,Rear-end,Major,5,2,4,4,False,Chevrolet,Coupe,2015,Fog,1,6563.468329628402,6563.468329628402,183,6,1.05,1.0,1.2,12894.40885011614,1
93,73,PN00002509,2017-07-07,CA,500,4989.849894530827,100000,500000,49702,Female,PhD,Engineer,Married,41071.95897890684,23427.884875613487,2021-06-08,Theft,Rear-end,Minor,14,1,3,3,True,BMW,SUV,2001,Rain,1,8249.012577759499,8249.012577759499,1432,20,1.0,1.0,1.3,9681.325159813301,3
54,31,PN00002510,2016-05-12,CA,2000,1161.3462845384352,500000,100000,83521,Female,Bachelor,Sales,Divorced,57342.40685373705,22752.33352488512,2021-03-04,Theft,Rear-end,Minor,18,2,3,1,True,Ford,Sedan,2007,Rain,1,9835.623309642653,9835.623309642653,1757,14,1.05,1.1,1.3,2792.6650606299545,0
63,50,PN00002511,2017-04-03,CA,250,3815.2811693003255,1000000,0,66523,Male,PhD,Manager,Single,59628.17654622944,1582.8378872712324,2016-10-06,Collision,Rear-end,Minor,23,3,1,2,True,Toyota,Convertible,2019,Snow,0,0.0,0.0,0,-3,1.05,1.2,1.5,11936.730457305357,1
79,27,PN00002512,2023-11-19,IL,500,1124.925025621701,1000000,500000,67175,Male,Master,Engineer,Married,51111.54926008103,31967.14157896351,2016-12-04,Vandalism,Parked Car,Minor,0,2,3,2,False,BMW,Coupe,2013,Fog,1,2067.229325435248,2067.229325435248,0,3,1.1,1.2,1.2,6278.701523477312,1
97,81,PN00002513,2016-07-22,CA,1000,4274.898645939783,250000,0,95306,Female,PhD,Engineer,Married,36419.64610727692,22967.24422506177,2022-02-24,Theft,Side-swipe,Major,8,2,1,1,False,Toyota,Convertible,2011,Clear,0,0.0,0.0,2043,11,1.1,1.1,1.0,19749.289912016622,3
7,81,PN00002514,2017-08-27,TX,500,3184.040215229052,250000,0,50224,Male,High School,Manager,Widowed,6882.006065058932,7253.856940269509,2023-05-15,Theft,Rear-end,Major,10,3,1,3,False,Chevrolet,Coupe,2005,Rain,4,8282.596409430613,19754.62274283579,2087,18,1.05,1.0,1.3,8137.963923321502,0
76,79,PN00002515,2023-11-12,TX,500,4721.718022729066,1000000,100000,31061,Male,High School,Teacher,Divorced,2228.3615235914267,12186.959100299244,2018-09-19,Natural Disaster,Head-on,Totaled,11,1,2,2,False,Ford,SUV,2009,Clear,0,0.0,0.0,0,9,1.05,1.0,1.0,20268.984792989664,3
49,85,PN00002516,2020-07-16,NY,2000,4396.804708751908,1000000,100000,18882,Male,Bachelor,Teacher,Divorced,45953.47380785275,10118.186589216853,2024-01-01,Vandalism,Head-on,Totaled,17,1,0,3,False,Toyota,Coupe,2011,Clear,0,0.0,0.0,1264,13,1.1,1.1,1.0,13356.94168427047,2
94,60,PN00002517,2015-04-18,TX,500,836.9241686097055,1000000,250000,90352,Male,Bachelor,Clerical,Single,20294.26669618015,6104.911046284117,2020-11-27,Collision,Parked Car,Major,11,3,2,4,True,BMW,Sedan,2008,Clear,0,0.0,0.0,2050,12,1.05,1.0,1.0,11204.824422978034,1
85,76,PN00002518,2019-01-18,FL,2000,1117.861437554874,250000,100000,28087,Male,Master,Manager,Single,93848.884533486,21777.068349939356,2017-07-28,Collision,Rear-end,Major,20,4,0,1,False,Chevrolet,SUV,2008,Snow,1,11515.279643320144,11515.279643320144,0,9,1.0,1.0,1.5,9390.658019450162,1
31,69,PN00002519,2021-03-19,NY,250,3205.2691787307135,1000000,500000,62229,Male,PhD,Manager,Married,64041.70177312416,18164.352746136476,2021-04-12,Natural Disaster,Side-swipe,Totaled,15,3,1,3,False,Chevrolet,Coupe,2015,Clear,1,1373.5943332323618,1373.5943332323618,24,6,1.05,1.0,1.0,17256.48686376311,1
58,36,PN00002520,2021-06-02,TX,500,2832.4158797393366,1000000,500000,16787,Male,High School,Sales,Single,58550.81177172141,18006.152253793007,2019-02-17,Vandalism,Head-on,Minor,13,4,1,0,False,Chevrolet,SUV,2021,Fog,0,0.0,0.0,0,-2,1.1,1.0,1.2,9680.178659681234,0
61,38,PN00002521,2019-02-20,FL,500,1258.5430877605006,100000,0,55337,Female,Master,Manager,Divorced,40655.185236159996,12576.408398914919,2017-10-22,Vandalism,Parked Car,Totaled,2,1,3,2,True,BMW,Truck,2023,Clear,1,4497.097900537502,4497.097900537502,0,-6,1.05,1.2,1.0,9077.952239912705,1
24,39,PN00002522,2020-03-29,TX,500,1082.116527222424,1000000,250000,12337,Male,Bachelor,Teacher,Widowed,32952.525934310725,21821.326676017037,2017-11-29,Vandalism,Side-swipe,Minor,0,3,3,0,True,Chevrolet,Sedan,2021,Fog,1,28911.053709907956,28911.053709907956,0,-4,1.05,1.2,1.2,9461.140361839969,0
20,26,PN00002523,2021-03-09,FL,1000,3037.958525487259,500000,0,56772,Male,Master,Manager,Single,17980.796589049074,27376.150209887208,2016-03-14,Theft,Parked Car,Totaled,20,1,2,2,False,Chevrolet,Truck,2021,Clear,1,11416.333330680973,11416.333330680973,0,-5,1.05,1.0,1.0,19747.17246806222,0
37,26,PN00002524,2016-06-15,CA,2000,720.1469658874977,250000,0,64830,Male,Bachelor,Sales,Single,6014.308490712494,30575.088585991572,2022-10-22,Natural Disaster,Parked Car,Minor,6,4,1,1,False,Toyota,Convertible,2003,Fog,0,0.0,0.0,2320,19,1.05,1.0,1.2,3003.2042746398492,0
4,44,PN00002525,2021-11-11,FL,2000,4431.8088632904755,100000,250000,29335,Female,Bachelor,Clerical,Single,63449.76422059112,10991.283538715108,2017-02-15,Theft,Rear-end,Totaled,17,3,2,1,False,Chevrolet,Truck,2008,Clear,2,1879.6973561236623,2519.28370489572,0,9,1.1,1.1,1.0,23750.366816815927,0
92,34,PN00002526,2015-12-20,CA,1000,4131.873139111793,1000000,0,53339,Female,Master,Engineer,Widowed,77920.04511245395,36392.1697782603,2017-12-26,Theft,Parked Car,Minor,1,1,0,3,False,Ford,Convertible,2011,Fog,0,0.0,0.0,737,6,1.1,1.2,1.2,8461.731260676128,5
108,61,PN00002527,2015-09-27,FL,2000,4034.164872699902,1000000,250000,83351,Male,PhD,Clerical,Divorced,85776.26664278047,1351.4535614739475,2019-04-19,Natural Disaster,Parked Car,Minor,10,4,1,1,True,Toyota,Truck,2002,Snow,1,8945.905933490347,8945.905933490347,1300,17,1.05,1.0,1.5,8372.389931743923,6
20,62,PN00002528,2018-06-20,FL,250,571.9871616833348,100000,0,35832,Male,Master,Sales,Single,72430.78314520165,37522.01166496791,2017-05-23,Vandalism,Rear-end,Totaled,2,3,3,1,False,Ford,Truck,2000,Snow,0,0.0,0.0,0,17,1.05,1.2,1.5,11760.597585589905,0
60,25,PN00002529,2019-06-19,TX,1000,714.3842453573208,100000,0,64985,Female,Bachelor,Manager,Single,89695.08818981987,14148.380039937152,2021-12-29,Vandalism,Rear-end,Minor,9,1,4,1,True,Chevrolet,Coupe,2023,Rain,0,0.0,0.0,924,-2,1.1,1.1,1.3,4334.788269454481,0
24,35,PN00002530,2023-01-15,FL,2000,2974.2760451782788,100000,250000,83759,Male,High School,Teacher,Widowed,98280.65114664123,18500.043117929697,2024-04-24,Collision,Head-on,Major,12,1,1,0,False,Toyota,SUV,2015,Fog,1,4109.212608614265,4109.212608614265,465,9,1.05,1.0,1.2,9374.503815466915,1
50,50,PN00002531,2023-01-23,TX,250,4974.9156000238,500000,500000,26148,Female,PhD,Manager,Divorced,96166.79679138893,29035.566513862927,2020-05-19,Vandalism,Parked Car,Major,23,1,2,0,False,Ford,Convertible,2010,Clear,0,0.0,0.0,0,10,1.05,1.2,1.0,13580.441519542212,2
49,18,PN00002532,2020-05-14,FL,2000,2040.4229043710827,500000,0,14502,Male,PhD,Engineer,Divorced,59223.028344254235,30522.569685537026,2017-11-20,Collision,Rear-end,Major,21,3,3,1,True,BMW,Truck,2001,Clear,2,7566.646237499652,7791.581008520025,0,16,1.05,1.0,1.0,5268.284748611632,0
51,23,PN00002533,2020-11-23,IL,1000,2049.686673824048,100000,0,99944,Male,High School,Teacher,Widowed,22420.000325169654,21057.732873471046,2016-11-13,Theft,Side-swipe,Major,18,4,0,2,True,BMW,Convertible,2005,Clear,1,23434.45812198805,23434.45812198805,0,11,1.05,1.1,1.0,9492.582386425236,0
96,58,PN00002534,2019-08-10,NY,2000,1104.2508508789251,1000000,500000,97622,Female,PhD,Clerical,Widowed,10635.543247432832,46894.94736916508,2023-07-13,Natural Disaster,Side-swipe,Major,18,2,0,1,False,Toyota,Convertible,2006,Rain,0,0.0,0.0,1433,17,1.0,1.1,1.3,7021.686266440163,2
105,72,PN00002535,2023-08-17,TX,250,3534.5111168277563,250000,250000,91193,Female,Bachelor,Sales,Single,99392.49981064188,42916.27117715923,2024-07-24,Collision,Side-swipe,Minor,9,3,0,2,False,Ford,Truck,2019,Fog,0,0.0,0.0,342,5,1.0,1.1,1.2,10320.244420804907,3
36,22,PN00002536,2019-08-05,TX,250,3410.0451004730253,500000,250000,44850,Female,Master,Clerical,Single,30839.02314355582,11251.827939589282,2016-02-15,Natural Disaster,Parked Car,Totaled,22,3,3,3,True,Toyota,Sedan,2014,Rain,1,10306.08853169892,10306.08853169892,0,2,1.1,1.2,1.3,25349.23885969916,0
117,76,PN00002537,2021-06-12,CA,250,955.9508737062158,250000,500000,13969,Male,Bachelor,Engineer,Divorced,3397.1059254916727,29445.509698365426,2023-08-06,Natural Disaster,Rear-end,Major,12,3,2,4,False,Toyota,Sedan,2003,Fog,0,0.0,0.0,785,20,1.0,1.0,1.2,8463.483401518311,1
98,35,PN00002538,2015-10-30,IL,2000,2603.35529180758,250000,250000,48107,Male,PhD,Engineer,Married,39104.60964077473,36049.25037032685,2019-01-24,Natural Disaster,Side-swipe,Major,2,2,1,0,False,Chevrolet,Sedan,2003,Clear,3,11833.586700691885,13457.242403372951,1182,16,1.1,1.2,1.0,6163.092260131507,4
100,66,PN00002539,2016-05-28,CA,1000,3501.8370896988845,500000,100000,91606,Male,High School,Manager,Married,74809.97352506703,10847.17912383079,2017-09-20,Natural Disaster,Head-on,Totaled,1,3,3,0,False,Toyota,Sedan,2007,Fog,0,0.0,0.0,480,10,1.05,1.2,1.2,17483.576688903195,6
66,82,PN00002540,2018-07-22,IL,2000,2720.8226134486717,250000,0,32121,Male,PhD,Manager,Widowed,89079.9986493222,922.5212422353524,2020-12-09,Vandalism,Head-on,Minor,20,4,4,3,False,Chevrolet,Sedan,2014,Rain,1,4311.749744203601,4311.749744203601,871,6,1.1,1.0,1.3,7273.753493138733,0
79,71,PN00002541,2022-03-16,IL,500,3534.6361183914,1000000,250000,94299,Male,Bachelor,Manager,Divorced,47756.38466416495,48780.22702327427,2020-01-06,Natural Disaster,Side-swipe,Minor,7,3,1,3,True,Chevrolet,SUV,2019,Snow,0,0.0,0.0,0,1,1.1,1.1,1.5,8577.926401690787,1
34,78,PN00002542,2015-10-31,FL,1000,4173.216788441704,500000,500000,66315,Male,PhD,Engineer,Married,29402.89151227664,47917.420757436994,2017-12-29,Natural Disaster,Head-on,Totaled,15,2,3,2,False,Honda,SUV,2018,Snow,0,0.0,0.0,790,-1,1.1,1.0,1.5,17621.563702461914,1
36,25,PN00002543,2020-01-18,CA,500,3586.1694490479545,500000,0,56131,Male,PhD,Teacher,Married,77840.42014942667,16017.384593323264,2018-06-06,Theft,Side-swipe,Totaled,16,2,1,0,True,Toyota,Truck,2021,Fog,0,0.0,0.0,0,-3,1.0,1.1,1.2,14212.561495222317,1
